YEAR,MONTH,STATEFIP,WTFINL,EARNWEEK2,AGE,SEX,OCC,UHRSWORKT,EDUC
2020,3,36,,600.0,43,2,5940,40,111
2020,3,16,,440.0,29,2,5400,57,81
2020,3,48,,360.0,54,1,4760,30,111
2020,3,22,,912.0,53,1,5000,997,81
2020,3,11,,440.0,49,2,5740,40,81
2020,3,5,,426.0,38,1,4030,40,73
2020,3,37,,50.0,17,1,4130,997,50
2020,3,12,,650.0,33,1,6515,40,71
2020,3,6,,1700.0,66,1,1021,40,123
2020,3,18,,1250.0,56,2,2360,40,123
2020,3,51,,2885.0,54,1,3820,50,111
2020,3,47,,666.0,26,2,7330,40,81
2020,3,37,,1420.0,58,1,9122,40,81
2020,3,4,,630.0,37,2,5120,35,73
2020,3,5,,400.0,25,1,6050,40,40
2020,3,47,,1630.0,52,2,3255,36,111
2020,3,50,,600.0,23,2,5400,32,73
2020,3,28,,1380.0,57,1,3090,40,125
2020,3,6,,1560.0,29,2,630,40,91
2020,3,41,,2885.0,51,1,7330,65,73
2020,3,26,,1840.0,43,2,3255,47,111
2020,3,54,,1800.0,51,1,8140,50,73
2020,3,48,,1058.0,30,2,735,3,73
2020,3,33,,172.0,16,2,4150,15,50
2020,3,6,,280.0,55,2,4110,20,73
2020,3,10,,1154.0,61,1,2011,40,123
2020,3,6,,1290.0,46,2,2310,50,125
2020,3,8,,1000.0,38,2,120,40,81
2020,3,48,,650.0,41,2,3500,30,81
2020,3,28,,1730.0,36,2,2300,997,111
2020,3,10,,866.0,67,1,150,40,111
2020,3,41,,740.0,37,1,8640,40,92
2020,3,37,,810.0,53,2,135,40,91
2020,3,55,,1310.0,56,2,3230,40,123
2020,3,6,,1126.0,28,1,5600,42,111
2020,3,38,,600.0,31,2,4120,40,81
2020,3,33,,1730.0,55,1,1970,40,123
2020,3,18,,692.0,53,2,5740,36,81
2020,3,51,,1350.0,24,2,3640,40,125
2020,3,6,,150.0,19,2,4030,20,81
2020,3,6,,960.0,62,1,800,40,111
2020,3,53,,1000.0,40,1,1760,40,123
2020,3,6,,92.0,71,1,2360,4,111
2020,3,4,,1380.0,64,2,3050,25,111
2020,3,46,,668.0,22,2,705,40,111
2020,3,6,,1058.0,47,1,120,40,111
2020,3,32,,900.0,47,2,4110,35,91
2020,3,35,,540.0,21,2,5000,40,123
2020,3,15,,968.0,65,2,5120,40,92
2020,3,6,,1200.0,52,1,7640,40,92
2020,3,46,,808.0,36,2,4720,40,73
2020,3,5,,1750.0,55,1,440,50,81
2020,3,39,,30.0,31,1,7750,997,73
2020,3,27,,2300.0,48,1,735,50,123
2020,3,12,,968.0,38,1,3870,40,111
2020,3,36,,912.0,33,1,8620,40,73
2020,3,34,,1920.0,51,1,110,40,111
2020,3,35,,500.0,58,2,800,40,123
2020,3,49,,2885.0,43,1,1106,45,123
2020,3,6,,2885.0,51,1,1021,40,123
2020,3,39,,1730.0,52,2,440,45,111
2020,3,13,,800.0,60,2,7020,40,92
2020,3,38,,924.0,27,1,1050,40,111
2020,3,32,,2300.0,41,2,4760,40,111
2020,3,9,,1890.0,59,1,1305,40,111
2020,3,48,,440.0,43,1,3655,40,73
2020,3,17,,1020.0,30,1,3870,40,111
2020,3,34,,1450.0,31,2,52,44,111
2020,3,26,,2140.0,45,1,7000,60,73
2020,3,20,,1096.0,28,1,9130,50,91
2020,3,21,,1440.0,43,1,3602,40,73
2020,3,22,,2885.0,63,2,440,40,123
2020,3,1,,1950.0,51,2,3255,40,111
2020,3,12,,430.0,49,2,4700,40,73
2020,3,56,,1300.0,52,1,1021,45,81
2020,3,46,,1260.0,44,2,350,60,91
2020,3,32,,540.0,16,2,3601,36,73
2020,3,39,,946.0,49,1,6230,35,73
2020,3,55,,866.0,35,1,5521,40,111
2020,3,25,,92.0,63,2,4760,7,111
2020,3,22,,600.0,44,2,3870,40,111
2020,3,55,,676.0,43,1,51,40,81
2020,3,47,,1770.0,31,1,5040,40,111
2020,3,22,,500.0,41,1,6260,50,73
2020,3,48,,1250.0,43,2,440,40,111
2020,3,8,,1154.0,28,2,2300,45,111
2020,3,51,,1390.0,60,2,2320,60,125
2020,3,6,,1540.0,28,2,5740,50,111
2020,3,21,,962.0,28,1,800,40,111
2020,3,41,,1270.0,56,1,4850,40,73
2020,3,20,,2885.0,55,1,600,55,123
2020,3,42,,1570.0,43,1,9130,997,73
2020,3,42,,424.0,42,2,4965,29,73
2020,3,48,,800.0,60,2,4700,40,92
2020,3,44,,560.0,43,2,2545,40,81
2020,3,6,,1200.0,37,1,1006,40,111
2020,3,56,,962.0,51,1,2205,40,123
2020,3,26,,920.0,33,2,5860,40,92
2020,3,53,,2400.0,64,1,440,40,123
2020,3,16,,1420.0,60,2,540,40,73
2020,3,36,,1188.0,42,2,7800,997,124
2020,3,36,,1440.0,57,1,2100,35,124
2020,3,13,,600.0,42,2,5400,40,73
2020,3,22,,400.0,22,2,2310,30,111
2020,3,30,,720.0,36,1,5000,40,81
2020,3,26,,1920.0,51,2,10,50,111
2020,3,51,,462.0,65,1,9130,40,71
2020,3,5,,1210.0,62,2,8740,40,30
